,size,max_weight,min_weight,mean_weight,max_singular_value,min_singular_value_90,sum_singular_values_90,num_rank_90,rank90_ratio,compression_factor,top_r,avg_p1_error,relative_p1_error,p2_error
layers.6.mlp.gate_proj.weight,"[11008, 4096]",0.41796875,-0.37109375,-1.25E-05,13.935812,1.173111558,6988.685722,3278,0.800292969,0.33,985,0.010554601,67.30158149,89.17793274
layers.6.mlp.up_proj.weight,"[11008, 4096]",0.56640625,-0.337890625,1.71E-06,4.741127491,1.096196294,6308.552938,3309,0.807861328,0.33,985,0.009864614,71.23145995,83.21460724
layers.6.mlp.down_proj.weight,"[4096, 11008]",0.7265625,-0.921875,2.72E-06,6.293182373,1.034221411,6168.10455,3266,0.797363281,0.33,985,0.009382716,68.02187397,79.21337891
layers.7.self_attn.q_proj.weight,"[4096, 4096]",0.7578125,-0.5625,-7.24E-06,11.76846695,0.60510838,4162.46014,2412,0.588867188,0.33,675,0.010196498,54.36679041,53.74796677
layers.7.self_attn.k_proj.weight,"[4096, 4096]",0.31640625,-0.25390625,-9.96E-06,13.68385983,0.61576885,4215.803065,2418,0.590332031,0.33,675,0.010391692,55.25151088,54.82625198
layers.7.self_attn.v_proj.weight,"[4096, 4096]",0.224609375,-0.225585938,2.14E-06,3.139066458,0.405757308,2600.076217,2609,0.636962891,0.33,675,0.007103564,65.29514845,36.76747131
layers.7.self_attn.o_proj.weight,"[4096, 4096]",0.40625,-0.55859375,-5.53E-06,5.457272053,0.402765661,2562.945326,2609,0.636962891,0.33,675,0.007079378,66.27339034,36.61333466
layers.7.mlp.gate_proj.weight,"[11008, 4096]",0.427734375,-0.455078125,6.70E-06,13.79149723,1.156557202,6959.523656,3267,0.797607422,0.33,985,0.010437571,66.66767198,88.26331329
layers.7.mlp.up_proj.weight,"[11008, 4096]",0.35546875,-0.3359375,6.29E-06,4.983993053,1.091599345,6317.777912,3303,0.806396484,0.33,985,0.009843129,70.82704155,83.09183502
layers.7.mlp.down_proj.weight,"[4096, 11008]",0.70703125,-0.9453125,2.35E-06,6.739190578,1.031071544,6157.136842,3257,0.795166016,0.33,985,0.009332238,67.55017112,78.8236084
