,size,max_weight,min_weight,mean_weight,max_singular_value,min_singular_value_90,sum_singular_values_90,num_rank_90,rank90_ratio,compression_factor,top_r,avg_p1_error,relative_p1_error,p2_error
encoder.layer.7.intermediate.dense.weight,"[3072, 768]",0.3975801467895508,-0.31864169239997864,0.00031754825613461435,11.696796417236328,1.2974904775619507,1380.0695939064026,625,0.8138020833333334,0.5,307,0.016915759071707726,54.65753498858289,32.812591552734375
encoder.layer.7.output.dense.weight,"[768, 3072]",0.9513964056968689,-3.561988353729248,5.447800504043698e-07,6.708874225616455,1.2634483575820923,1338.8722133636475,628,0.8177083333333334,0.5,307,0.01646522246301174,56.3626083080421,31.96765899658203
encoder.layer.8.attention.self.query.weight,"[768, 768]",0.35009923577308655,-0.3796270489692688,0.00012105637142667547,4.367897033691406,0.5314152240753174,647.999858379364,473,0.6158854166666666,0.5,192,0.01709173433482647,48.92466095242563,16.480979919433594
encoder.layer.8.attention.self.key.weight,"[768, 768]",0.38411179184913635,-0.40166378021240234,-4.26902188337408e-05,5.187079429626465,0.5287402868270874,642.6654203534126,474,0.6171875,0.5,192,0.01685844548046589,48.194820664730884,16.26358985900879
encoder.layer.8.attention.self.value.weight,"[768, 768]",0.17780016362667084,-0.1871761828660965,9.540923201711848e-06,2.5906543731689453,0.4610363245010376,548.1864489018917,495,0.64453125,0.5,192,0.015356902964413166,54.82075664274938,14.822118759155273
encoder.layer.8.attention.output.dense.weight,"[768, 768]",0.41073885560035706,-0.5421141982078552,-1.689105488367204e-06,2.950457811355591,0.46175605058670044,528.3188430666924,501,0.65234375,0.5,192,0.015182103030383587,57.448302494369926,14.718609809875488
encoder.layer.8.intermediate.dense.weight,"[3072, 768]",0.37640872597694397,-0.43370410799980164,0.00039120251312851906,11.76274585723877,1.2888367176055908,1376.3413808345795,625,0.8138020833333334,0.5,307,0.016863206401467323,54.465897168104114,32.64179992675781
encoder.layer.8.output.dense.weight,"[768, 3072]",1.1222258806228638,-3.1352038383483887,-3.67378476084923e-07,7.925690174102783,1.2972252368927002,1346.6379672288895,633,0.82421875,0.5,307,0.01696893945336342,58.09660262165628,32.902584075927734
encoder.layer.9.attention.self.query.weight,"[768, 768]",0.26922428607940674,-0.24494677782058716,-0.00012025097385048866,4.561459541320801,0.5752512216567993,691.222601890564,484,0.6302083333333334,0.5,192,0.018803685903549194,51.476609421663525,18.140676498413086
encoder.layer.9.attention.self.key.weight,"[768, 768]",0.6269592046737671,-0.5265079140663147,1.948565841303207e-05,5.280603885650635,0.5759061574935913,686.8095102310181,483,0.62890625,0.5,192,0.018619375303387642,51.140241772449535,17.97905731201172
encoder.layer.9.attention.self.value.weight,"[768, 768]",0.2093314826488495,-0.1981411725282669,2.8407737772795372e-05,2.2887191772460938,0.47418197989463806,548.0504147410393,502,0.6536458333333334,0.5,192,0.01606428623199463,58.73719813192177,15.511470794677734
encoder.layer.9.attention.output.dense.weight,"[768, 768]",0.35814473032951355,-0.3736896216869354,1.0377043508924544e-05,2.7088489532470703,0.47139284014701843,527.438273191452,511,0.6653645833333334,0.5,192,0.015776501968503,60.896127930150904,15.262821197509766
encoder.layer.9.intermediate.dense.weight,"[3072, 768]",0.7370226383209229,-0.822796106338501,0.00046331912744790316,13.617839813232422,1.276077389717102,1382.798172712326,623,0.8111979166666666,0.5,307,0.016726026311516762,53.53939654905654,32.35639190673828
encoder.layer.9.output.dense.weight,"[768, 3072]",2.186894416809082,-3.0745725631713867,-1.0400964129075874e-05,10.631287574768066,1.3783526420593262,1410.3860996961594,637,0.8294270833333334,0.5,307,0.018085232004523277,59.79477927329535,35.028160095214844
encoder.layer.10.attention.self.query.weight,"[768, 768]",0.4638705849647522,-0.4196734130382538,0.00015207489195745438,5.710827827453613,0.5714724659919739,694.0347905755043,485,0.6315104166666666,0.5,192,0.018961574882268906,51.99980180662456,18.298267364501953
encoder.layer.10.attention.self.key.weight,"[768, 768]",0.26120737195014954,-0.3220859467983246,-1.8148459275835194e-05,5.163385391235352,0.5740916132926941,692.3998140692711,485,0.6315104166666666,0.5,192,0.018952226266264915,52.2030683087649,18.29620361328125
encoder.layer.10.attention.self.value.weight,"[768, 768]",0.2529148757457733,-0.2470024675130844,-3.974512583226897e-05,2.75454044342041,0.474345326423645,560.7679488062859,496,0.6458333333333334,0.5,192,0.016262756660580635,58.38323201136664,15.728979110717773
encoder.layer.10.attention.output.dense.weight,"[768, 768]",0.285733699798584,-0.2611401379108429,6.590792054339545e-06,2.3109281063079834,0.46025118231773376,531.1780714988708,501,0.65234375,0.5,192,0.01566687598824501,59.57990911309975,15.149147033691406
encoder.layer.10.intermediate.dense.weight,"[3072, 768]",1.6365556716918945,-1.6418862342834473,3.727222792804241e-05,11.293309211730957,1.2535414695739746,1364.7528412342072,621,0.80859375,0.5,307,0.016495704650878906,53.3512679690242,31.882205963134766
encoder.layer.10.output.dense.weight,"[768, 3072]",0.9037580490112305,-6.373070240020752,-7.990726771822665e-06,9.049972534179688,1.3388530015945435,1374.7913081645966,635,0.8268229166666666,0.5,307,0.01766268163919449,59.407079434786425,34.138916015625
encoder.layer.11.attention.self.query.weight,"[768, 768]",0.6601176261901855,-0.7210237979888916,-0.0001434818987036124,7.126557350158691,0.568706750869751,677.2152508497238,486,0.6328125,0.5,192,0.018451949581503868,51.346690788719386,17.81405258178711
encoder.layer.11.attention.self.key.weight,"[768, 768]",0.3146648108959198,-0.4733372628688812,0.0002499343827366829,5.066803932189941,0.5592285990715027,672.0424829721451,488,0.6354166666666666,0.5,192,0.018386423587799072,52.00459105019167,17.73382568359375
encoder.layer.11.attention.self.value.weight,"[768, 768]",0.2811879813671112,-0.26224076747894287,-2.2046779122320004e-05,2.7656052112579346,0.5244497060775757,613.3957045674324,494,0.6432291666666666,0.5,192,0.017497219145298004,56.471413450548226,16.90475845336914
encoder.layer.11.attention.output.dense.weight,"[768, 768]",0.19967034459114075,-0.3128300905227661,-3.3344470011797966e-06,2.7936394214630127,0.5083497762680054,584.7158119678497,502,0.6536458333333334,0.5,192,0.01711411029100418,58.56532586123154,16.534317016601562
encoder.layer.11.intermediate.dense.weight,"[3072, 768]",0.2824043929576874,-0.4475419521331787,0.00042076068348251283,9.314970970153809,1.3203306198120117,1392.9183801412582,624,0.8125,0.5,307,0.017280705273151398,55.39188072453174,33.363311767578125
encoder.layer.11.output.dense.weight,"[768, 3072]",0.9530386924743652,-2.148390054702759,-6.743969606759492e-06,5.636325836181641,1.2786338329315186,1246.643384695053,573,0.74609375,0.5,307,0.015350120142102242,54.11103690015191,29.63199806213379
