,size,max_weight,min_weight,mean_weight,max_singular_value,min_singular_value_90,sum_singular_values_90,num_rank_90,rank90_ratio,compression_factor,top_r,avg_p1_error,relative_p1_error,p2_error
layers.5.self_attn.q_proj.weight,"[4096, 4096]",0.640625,-0.59375,-7.13E-06,13.73753834,0.660348356,4448.885543,2396,0.584960938,0.5,1024,0.008669063,42.87370584,45.30268097
layers.5.self_attn.k_proj.weight,"[4096, 4096]",0.333984375,-0.33203125,4.84E-06,16.54254913,0.69046104,4643.638351,2385,0.582275391,0.5,1024,0.009036718,43.43218531,47.30646896
layers.5.self_attn.v_proj.weight,"[4096, 4096]",0.166992188,-0.265625,6.61E-06,2.997070551,0.450112134,2821.976571,2649,0.646728516,0.5,1024,0.00645739,55.53266735,33.33864594
layers.5.self_attn.o_proj.weight,"[4096, 4096]",0.4453125,-0.52734375,-1.67E-07,5.656042576,0.43631196,2745.384022,2638,0.644042969,0.5,1024,0.006277487,55.14732051,32.37949753
layers.5.mlp.gate_proj.weight,"[11008, 4096]",0.3359375,-0.443359375,-2.14E-05,12.34131813,1.166697502,6904.097371,3288,0.802734375,0.5,1492,0.008716482,56.44390727,73.50845337
layers.5.mlp.up_proj.weight,"[11008, 4096]",0.423828125,-0.490234375,3.06E-06,4.456430435,1.101844549,6337.246297,3315,0.809326172,0.5,1492,0.008269764,59.50300373,69.71253967
layers.5.mlp.down_proj.weight,"[4096, 11008]",0.5625,-0.734375,9.29E-07,6.439071655,1.048555374,6218.337069,3271,0.798583984,0.5,1492,0.007845944,56.55550363,66.19504547
layers.6.self_attn.q_proj.weight,"[4096, 4096]",0.61328125,-0.578125,6.79E-07,12.29848099,0.600097299,4138.914013,2412,0.588867188,0.5,1024,0.007922797,42.11596766,41.28738403
layers.6.self_attn.k_proj.weight,"[4096, 4096]",0.30859375,-0.263671875,1.79E-06,14.57286835,0.622294605,4267.778973,2417,0.590087891,0.5,1024,0.008242441,43.21967682,42.99060822
layers.6.self_attn.v_proj.weight,"[4096, 4096]",0.27734375,-0.287109375,5.55E-07,3.002666712,0.406199127,2586.94419,2633,0.642822266,0.5,1024,0.005824012,54.11590359,30.00007439
layers.6.self_attn.o_proj.weight,"[4096, 4096]",0.53515625,-0.60546875,-1.45E-06,5.766997814,0.392946392,2524.172612,2611,0.637451172,0.5,1024,0.005643311,53.16161768,29.05459785
layers.6.mlp.gate_proj.weight,"[11008, 4096]",0.41796875,-0.37109375,-1.25E-05,13.935812,1.173111558,6988.685722,3278,0.800292969,0.5,1492,0.008758909,55.85132589,73.90869904
layers.6.mlp.up_proj.weight,"[11008, 4096]",0.56640625,-0.337890625,1.71E-06,4.741127491,1.096196294,6308.552938,3309,0.807861328,0.5,1492,0.008223904,59.38404575,69.35398865
layers.6.mlp.down_proj.weight,"[4096, 11008]",0.7265625,-0.921875,2.72E-06,6.293182373,1.034221411,6168.10455,3266,0.797363281,0.5,1492,0.007746753,56.16163317,65.41664886
layers.7.self_attn.q_proj.weight,"[4096, 4096]",0.7578125,-0.5625,-7.24E-06,11.76846695,0.60510838,4162.46014,2412,0.588867188,0.5,1024,0.008035291,42.84343461,41.9288559
layers.7.self_attn.k_proj.weight,"[4096, 4096]",0.31640625,-0.25390625,-9.96E-06,13.68385983,0.61576885,4215.803065,2418,0.590332031,0.5,1024,0.008202471,43.61165822,42.83731461
layers.7.self_attn.v_proj.weight,"[4096, 4096]",0.224609375,-0.225585938,2.14E-06,3.139066458,0.405757308,2600.076217,2609,0.636962891,0.5,1024,0.005799634,53.30957479,29.90188408
layers.7.self_attn.o_proj.weight,"[4096, 4096]",0.40625,-0.55859375,-5.53E-06,5.457272053,0.402765661,2562.945326,2609,0.636962891,0.5,1024,0.00578729,54.17754524,29.8454361
layers.7.mlp.gate_proj.weight,"[11008, 4096]",0.427734375,-0.455078125,6.70E-06,13.79149723,1.156557202,6959.523656,3267,0.797607422,0.5,1492,0.008640239,55.18760984,72.94052124
layers.7.mlp.up_proj.weight,"[11008, 4096]",0.35546875,-0.3359375,6.29E-06,4.983993053,1.091599345,6317.777912,3303,0.806396484,0.5,1492,0.008194009,58.96066387,69.14479065
layers.7.mlp.down_proj.weight,"[4096, 11008]",0.70703125,-0.9453125,2.35E-06,6.739190578,1.031071544,6157.136842,3257,0.795166016,0.5,1492,0.007701565,55.74675853,65.04705048
layers.8.self_attn.q_proj.weight,"[4096, 4096]",0.470703125,-0.55859375,8.69E-06,11.97070885,0.624502003,4261.184399,2427,0.592529297,0.5,1024,0.0083217,43.80026719,43.38813782
layers.8.self_attn.k_proj.weight,"[4096, 4096]",0.29296875,-0.30859375,2.78E-06,14.27540684,0.643537641,4361.288071,2438,0.595214844,0.5,1024,0.008685592,45.47940405,45.30125046
layers.8.self_attn.v_proj.weight,"[4096, 4096]",0.19140625,-0.208007813,2.55E-06,3.374553919,0.410561651,2643.845374,2596,0.633789063,0.5,1024,0.005817628,51.80653516,29.98288345
layers.8.self_attn.o_proj.weight,"[4096, 4096]",0.75390625,-0.60546875,-8.22E-07,4.939068317,0.412979245,2630.925896,2601,0.635009766,0.5,1024,0.005910863,53.41017295,30.44064331
layers.8.mlp.gate_proj.weight,"[11008, 4096]",0.318359375,-0.390625,-7.65E-06,12.94817829,1.130855799,6840.339342,3262,0.796386719,0.5,1492,0.008446257,54.84473799,71.34789276
layers.8.mlp.up_proj.weight,"[11008, 4096]",0.6484375,-0.435546875,1.80E-06,5.374046326,1.094049335,6373.755633,3301,0.805908203,0.5,1492,0.008203362,58.31657152,69.27128601
layers.8.mlp.down_proj.weight,"[4096, 11008]",0.76171875,-0.796875,-2.16E-06,7.060575008,1.032915831,6205.106924,3259,0.795654297,0.5,1492,0.007714689,55.27673421,65.20607758
layers.9.self_attn.q_proj.weight,"[4096, 4096]",0.44140625,-0.77734375,5.59E-07,12.23181343,0.642280459,4346.131696,2456,0.599609375,0.5,1024,0.00869422,45.045281,45.20076752
layers.9.self_attn.k_proj.weight,"[4096, 4096]",0.263671875,-0.35546875,1.10E-05,14.20785427,0.663313329,4471.022917,2460,0.600585938,0.5,1024,0.009021388,45.92957944,46.90856171
layers.9.self_attn.v_proj.weight,"[4096, 4096]",0.203125,-0.247070313,2.66E-06,3.238834381,0.41738081,2697.677114,2590,0.632324219,0.5,1024,0.005938867,51.8912174,30.59352112
layers.9.self_attn.o_proj.weight,"[4096, 4096]",0.5078125,-0.546875,3.07E-06,5.123231411,0.420280606,2682.444788,2602,0.635253906,0.5,1024,0.006012609,53.15329794,30.92099571
layers.9.mlp.gate_proj.weight,"[11008, 4096]",0.375,-0.357421875,-6.81E-08,13.03291702,1.114997745,6764.813026,3260,0.795898438,0.5,1492,0.008326683,54.66860425,70.33703613
layers.9.mlp.up_proj.weight,"[11008, 4096]",0.609375,-0.380859375,-1.53E-06,5.377055645,1.097004175,6404.893105,3297,0.804931641,0.5,1492,0.008216273,58.02726826,69.40098572
layers.9.mlp.down_proj.weight,"[4096, 11008]",0.640625,-0.6640625,2.10E-06,7.094153404,1.040867448,6253.416508,3261,0.796142578,0.5,1492,0.007774999,55.35015464,65.77633667
layers.10.self_attn.q_proj.weight,"[4096, 4096]",0.462890625,-0.462890625,4.01E-06,12.09219456,0.605999708,4215.034038,2416,0.58984375,0.5,1024,0.008108408,42.28610958,42.08813858
layers.10.self_attn.k_proj.weight,"[4096, 4096]",0.29296875,-0.26953125,3.82E-06,14.31129646,0.637884915,4385.977972,2428,0.592773438,0.5,1024,0.008611382,44.02082153,44.75551224
layers.10.self_attn.v_proj.weight,"[4096, 4096]",0.259765625,-0.204101563,4.18E-06,3.225467205,0.409909785,2659.686103,2592,0.6328125,0.5,1024,0.0058014,51.06370316,29.89461327
layers.10.self_attn.o_proj.weight,"[4096, 4096]",0.404296875,-0.4140625,1.04E-05,4.304773331,0.405991197,2628.068075,2552,0.623046875,0.5,1024,0.005758042,50.99377928,29.66301537
layers.10.mlp.gate_proj.weight,"[11008, 4096]",0.373046875,-0.52734375,-1.63E-05,13.19612312,1.099291205,6722.844354,3255,0.794677734,0.5,1492,0.008213467,54.29062923,69.42340851
layers.10.mlp.up_proj.weight,"[11008, 4096]",0.235351563,-0.392578125,1.61E-06,5.590380669,1.097735763,6456.202449,3296,0.8046875,0.5,1492,0.008228002,57.52657008,69.51651764
layers.10.mlp.down_proj.weight,"[4096, 11008]",1.0234375,-0.74609375,9.23E-07,7.071910858,1.04409647,6288.568378,3253,0.794189453,0.5,1492,0.007783942,54.95450213,65.94337463
layers.11.self_attn.q_proj.weight,"[4096, 4096]",0.609375,-0.419921875,1.28E-05,11.18149662,0.560673833,3936.459432,2400,0.5859375,0.5,1024,0.007408429,41.43297723,38.53614426
layers.11.self_attn.k_proj.weight,"[4096, 4096]",0.271484375,-0.279296875,-8.13E-08,12.93240261,0.57380271,3988.747599,2424,0.591796875,0.5,1024,0.007682289,43.10061331,39.89305496
layers.11.self_attn.v_proj.weight,"[4096, 4096]",0.267578125,-0.298828125,-2.57E-06,3.401183128,0.419014513,2739.09572,2566,0.626464844,0.5,1024,0.005875625,49.76151339,30.29370689
layers.11.self_attn.o_proj.weight,"[4096, 4096]",0.578125,-0.54296875,-2.47E-06,5.648757458,0.413483799,2700.141454,2530,0.617675781,0.5,1024,0.005802476,49.59218956,29.92963219
layers.11.mlp.gate_proj.weight,"[11008, 4096]",0.314453125,-0.40234375,-2.06E-05,13.55577946,1.095817924,6694.243719,3247,0.792724609,0.5,1492,0.008189877,54.22302044,69.17755127
layers.11.mlp.up_proj.weight,"[11008, 4096]",0.41796875,-0.423828125,-1.17E-06,5.675954342,1.108569264,6507.155387,3286,0.802246094,0.5,1492,0.008299868,57.52443133,70.11148834
layers.11.mlp.down_proj.weight,"[4096, 11008]",0.640625,-0.765625,-2.58E-06,7.464100361,1.063283086,6352.652161,3263,0.796630859,0.5,1492,0.007925745,55.57952116,67.1568222
layers.12.self_attn.q_proj.weight,"[4096, 4096]",0.5234375,-0.4609375,8.66E-07,11.80156994,0.615897059,4192.75745,2454,0.599121094,0.5,1024,0.008368123,44.9341396,43.42142105
layers.12.self_attn.k_proj.weight,"[4096, 4096]",0.2578125,-0.298828125,3.19E-06,13.59975719,0.633470833,4307.811376,2460,0.600585938,0.5,1024,0.008605592,45.16861391,44.65395355
layers.12.self_attn.v_proj.weight,"[4096, 4096]",0.251953125,-0.190429688,-7.42E-07,3.245185614,0.42657128,2753.561853,2591,0.632568359,0.5,1024,0.006061475,51.94557082,31.23758888
layers.12.self_attn.o_proj.weight,"[4096, 4096]",0.50390625,-0.51953125,-3.22E-06,4.950929165,0.428400159,2741.534388,2585,0.631103516,0.5,1024,0.006120076,52.81070252,31.51342201
layers.12.mlp.gate_proj.weight,"[11008, 4096]",0.35546875,-0.33984375,-2.71E-05,13.06389618,1.095310926,6671.345575,3249,0.793212891,0.5,1492,0.008195424,54.53530609,69.2171402
layers.12.mlp.up_proj.weight,"[11008, 4096]",0.24609375,-0.241210938,-2.50E-06,6.004004478,1.115547419,6565.921917,3284,0.801757813,0.5,1492,0.008373497,57.49947239,70.70498657
layers.12.mlp.down_proj.weight,"[4096, 11008]",0.6484375,-0.58984375,-1.18E-06,6.818364143,1.073421121,6411.460967,3261,0.796142578,0.5,1492,0.008008135,55.67894668,67.83773041
layers.13.self_attn.q_proj.weight,"[4096, 4096]",0.6796875,-0.421875,8.50E-06,12.08737659,0.616433442,4179.190689,2468,0.602539063,0.5,1024,0.008374705,45.32867136,43.48178101
layers.13.self_attn.k_proj.weight,"[4096, 4096]",0.30078125,-0.26171875,-1.18E-07,13.83546543,0.644349694,4317.01569,2491,0.608154297,0.5,1024,0.008882049,47.46825753,46.12025452
layers.13.self_attn.v_proj.weight,"[4096, 4096]",0.22265625,-0.229492188,-6.35E-06,3.114442587,0.458672851,2915.607033,2629,0.641845703,0.5,1024,0.006614908,54.63903076,34.06546402
layers.13.self_attn.o_proj.weight,"[4096, 4096]",0.5078125,-0.462890625,2.83E-06,5.116381168,0.437997282,2819.894751,2571,0.627685547,0.5,1024,0.006239976,51.99642007,32.16950989
layers.13.mlp.gate_proj.weight,"[11008, 4096]",0.3671875,-0.31640625,-2.21E-05,13.28913212,1.099028587,6665.040789,3250,0.793457031,0.5,1492,0.008227753,54.95338424,69.49060822
layers.13.mlp.up_proj.weight,"[11008, 4096]",0.416015625,-0.431640625,2.01E-06,6.325664043,1.135374546,6646.747116,3289,0.802978516,0.5,1492,0.00852005,57.93451979,71.94683838
layers.13.mlp.down_proj.weight,"[4096, 11008]",1.0703125,-0.61328125,-1.06E-07,6.426171303,1.1012007,6499.139543,3277,0.800048828,0.5,1492,0.008209324,56.63038877,69.53358459
layers.14.self_attn.q_proj.weight,"[4096, 4096]",0.54296875,-0.5703125,-5.95E-06,11.63124561,0.593697608,4067.804674,2449,0.597900391,0.5,1024,0.007985352,43.37295046,41.40886688
layers.14.self_attn.k_proj.weight,"[4096, 4096]",0.25390625,-0.314453125,-6.10E-06,13.66700172,0.608950555,4150.136097,2466,0.602050781,0.5,1024,0.008244378,44.19895111,42.71148682
layers.14.self_attn.v_proj.weight,"[4096, 4096]",0.333984375,-0.17578125,-2.36E-06,2.758440018,0.447758436,2850.46102,2617,0.638916016,0.5,1024,0.006416309,53.91201932,33.07432938
layers.14.self_attn.o_proj.weight,"[4096, 4096]",0.5390625,-0.59765625,2.29E-06,4.546376228,0.430953264,2769.325889,2572,0.627929688,0.5,1024,0.006141764,52.09844422,31.70885277
layers.14.mlp.gate_proj.weight,"[11008, 4096]",0.341796875,-0.31640625,-3.47E-05,13.15201664,1.100656152,6652.423761,3246,0.792480469,0.5,1492,0.008228404,55.0237114,69.44039917
layers.14.mlp.up_proj.weight,"[11008, 4096]",0.4765625,-0.22265625,1.60E-06,6.490736961,1.13897872,6651.430077,3282,0.801269531,0.5,1492,0.00853461,57.95307922,72.02178192
layers.14.mlp.down_proj.weight,"[4096, 11008]",0.66015625,-0.578125,-9.84E-08,6.153873444,1.105068445,6512.125883,3278,0.800292969,0.5,1492,0.008260902,56.90750826,69.8657608
layers.15.self_attn.q_proj.weight,"[4096, 4096]",0.58203125,-0.55859375,4.96E-06,12.71955204,0.609883845,4116.06814,2475,0.604248047,0.5,1024,0.008305675,45.39078576,43.08960724
layers.15.self_attn.k_proj.weight,"[4096, 4096]",0.259765625,-0.255859375,3.15E-06,14.32470608,0.633205414,4249.772383,2488,0.607421875,0.5,1024,0.008639857,45.96738582,44.80117416
layers.15.self_attn.v_proj.weight,"[4096, 4096]",0.2265625,-0.202148438,1.32E-06,3.000715971,0.46960631,2975.584694,2639,0.644287109,0.5,1024,0.006746618,54.47415346,34.74156952
layers.15.self_attn.o_proj.weight,"[4096, 4096]",0.3828125,-0.48828125,-1.50E-06,4.588168621,0.458564162,2917.668063,2603,0.635498047,0.5,1024,0.006610847,54.05860102,34.0553894
layers.15.mlp.gate_proj.weight,"[11008, 4096]",0.431640625,-0.310546875,-2.60E-05,13.09079075,1.115274191,6712.211032,3256,0.794921875,0.5,1492,0.008344179,55.53957325,70.42098999
layers.15.mlp.up_proj.weight,"[11008, 4096]",0.44140625,-0.302734375,-2.57E-07,6.801887035,1.153020859,6705.080086,3295,0.804443359,0.5,1492,0.008638162,58.36157923,72.91822052
layers.15.mlp.down_proj.weight,"[4096, 11008]",0.62890625,-1.0625,-3.31E-06,5.768622398,1.131934047,6589.28036,3297,0.804931641,0.5,1492,0.008468324,58.14960602,71.5866394
layers.16.self_attn.q_proj.weight,"[4096, 4096]",0.7578125,-1,-2.47E-07,12.96548843,0.602910221,4064.790391,2472,0.603515625,0.5,1024,0.008135058,45.02809748,42.22945023
layers.16.self_attn.k_proj.weight,"[4096, 4096]",0.2734375,-0.2890625,1.19E-07,14.67752266,0.619711339,4174.309208,2482,0.605957031,0.5,1024,0.008445253,45.8200795,43.79576492
layers.16.self_attn.v_proj.weight,"[4096, 4096]",0.2421875,-0.206054688,-1.85E-06,2.83515954,0.50523591,3158.457859,2669,0.651611328,0.5,1024,0.007336796,56.8197063,37.76122665
layers.16.self_attn.o_proj.weight,"[4096, 4096]",0.39453125,-0.42578125,-4.78E-07,5.012319565,0.498280168,3114.705625,2640,0.64453125,0.5,1024,0.007278975,56.876765,37.46598053
layers.16.mlp.gate_proj.weight,"[11008, 4096]",0.369140625,-0.474609375,-2.01E-05,13.48286819,1.122523189,6744.124993,3246,0.792480469,0.5,1492,0.008384118,55.35390331,70.74287415
layers.16.mlp.up_proj.weight,"[11008, 4096]",0.365234375,-0.462890625,-4.42E-07,7.069870949,1.147046328,6683.291651,3281,0.801025391,0.5,1492,0.008585691,58.01241436,72.44944
layers.16.mlp.down_proj.weight,"[4096, 11008]",0.474609375,-0.76953125,-2.12E-06,5.469715118,1.148733616,6626.606301,3304,0.806640625,0.5,1492,0.008620162,59.20130363,72.78830719
layers.17.self_attn.q_proj.weight,"[4096, 4096]",0.9453125,-0.796875,6.13E-06,12.8994751,0.636695325,4179.502479,2520,0.615234375,0.5,1024,0.00881625,48.8123085,45.74920654
layers.17.self_attn.k_proj.weight,"[4096, 4096]",0.279296875,-0.306640625,8.07E-06,14.37312794,0.647233367,4249.775348,2525,0.616455078,0.5,1024,0.008971421,48.87251652,46.52769852
layers.17.self_attn.v_proj.weight,"[4096, 4096]",0.213867188,-0.196289063,-7.98E-06,2.890080214,0.514430404,3177.302473,2689,0.656494141,0.5,1024,0.007498939,58.19073385,38.58453369
layers.17.self_attn.o_proj.weight,"[4096, 4096]",0.498046875,-0.490234375,1.25E-05,5.453084469,0.50860548,3147.033394,2676,0.653320313,0.5,1024,0.007433569,58.04312016,38.23648453
layers.17.mlp.gate_proj.weight,"[11008, 4096]",0.34375,-0.404296875,-5.05E-05,13.92101574,1.139291525,6815.156233,3246,0.792480469,0.5,1492,0.008500045,55.52401621,71.69483185
layers.17.mlp.up_proj.weight,"[11008, 4096]",0.33984375,-0.2734375,3.33E-07,6.525723934,1.146304488,6660.788879,3277,0.800048828,0.5,1492,0.008569485,58.08314183,72.2719574
layers.17.mlp.down_proj.weight,"[4096, 11008]",0.546875,-1.1484375,-3.92E-06,5.432235718,1.149148703,6622.500947,3297,0.804931641,0.5,1492,0.008632286,59.30759899,72.83249664
layers.18.self_attn.q_proj.weight,"[4096, 4096]",0.6796875,-0.7734375,-2.91E-07,12.99688339,0.647754371,4172.049616,2553,0.623291016,0.5,1024,0.009032555,50.95075435,46.90089035
layers.18.self_attn.k_proj.weight,"[4096, 4096]",0.3125,-0.3125,-5.63E-06,14.07073021,0.665590942,4270.823442,2563,0.625732422,0.5,1024,0.009323222,51.75079078,48.40223694
layers.18.self_attn.v_proj.weight,"[4096, 4096]",0.202148438,-0.224609375,4.78E-06,2.888507843,0.541902721,3334.10919,2693,0.657470703,0.5,1024,0.00789353,58.52907563,40.62195206
layers.18.self_attn.o_proj.weight,"[4096, 4096]",0.56640625,-0.55859375,-4.29E-06,5.43772459,0.540211201,3300.934849,2704,0.66015625,0.5,1024,0.007887114,59.25257462,40.59537888
layers.18.mlp.gate_proj.weight,"[11008, 4096]",0.369140625,-0.357421875,-4.09E-05,13.56250572,1.163905621,6917.236974,3253,0.794189453,0.5,1492,0.008696262,56.26707702,73.35647583
layers.18.mlp.up_proj.weight,"[11008, 4096]",0.326171875,-0.169921875,1.47E-06,6.065442085,1.150076509,6660.88385,3282,0.801269531,0.5,1492,0.008615789,58.55645198,72.63243866
layers.18.mlp.down_proj.weight,"[4096, 11008]",0.65625,-1.1015625,-2.51E-06,5.389955044,1.149842739,6619.202622,3303,0.806396484,0.5,1492,0.008632461,59.35625372,72.80737305
layers.19.self_attn.q_proj.weight,"[4096, 4096]",0.66796875,-0.71875,-3.98E-06,12.79369354,0.62211597,4053.673954,2533,0.618408203,0.5,1024,0.008628905,49.47677593,44.82515335
layers.19.self_attn.k_proj.weight,"[4096, 4096]",0.2890625,-0.298828125,-8.36E-06,14.21688652,0.628972709,4108.475855,2534,0.618652344,0.5,1024,0.008742594,49.46953241,45.36590958
layers.19.self_attn.v_proj.weight,"[4096, 4096]",0.223632813,-0.138671875,-1.47E-06,2.742966652,0.536728621,3338.356795,2684,0.655273438,0.5,1024,0.007791153,57.29793879,40.07318497
layers.19.self_attn.o_proj.weight,"[4096, 4096]",0.67578125,-0.6015625,-1.01E-06,5.363221169,0.545913756,3339.99955,2704,0.66015625,0.5,1024,0.007970704,59.1782578,40.99220276
layers.19.mlp.gate_proj.weight,"[11008, 4096]",0.349609375,-0.38671875,-5.57E-05,12.63218307,1.174550891,6961.143781,3260,0.795898438,0.5,1492,0.008778841,56.51889914,74.03561401
