,size,max_singular_value,min_singular_value_90,sum_singular_values_90,num_rank_90,rank90_ratio,reconstruction_error
layers.17.self_attn.k_proj.weight,"[4096, 4096]",14.37312794,0.647233367,4249.775348,2525,0.616455078,57.94435501
layers.17.self_attn.v_proj.weight,"[4096, 4096]",2.890080214,0.514430404,3177.302473,2689,0.656494141,46.60574722
layers.17.self_attn.o_proj.weight,"[4096, 4096]",5.453084469,0.50860548,3147.033394,2676,0.653320313,46.25296783
layers.17.mlp.gate_proj.weight,"[11008, 4096]",13.92101574,1.139291525,6815.156233,3246,0.792480469,87.0389328
layers.17.mlp.up_proj.weight,"[11008, 4096]",6.525723934,1.146304488,6660.788879,3277,0.800048828,87.18109894
layers.17.mlp.down_proj.weight,"[4096, 11008]",5.432235718,1.149148703,6622.500947,3297,0.804931641,87.56315613
layers.18.self_attn.q_proj.weight,"[4096, 4096]",12.99688339,0.647754371,4172.049616,2553,0.623291016,58.03838348
layers.18.self_attn.k_proj.weight,"[4096, 4096]",14.07073021,0.665590942,4270.823442,2563,0.625732422,59.7386322
layers.18.self_attn.v_proj.weight,"[4096, 4096]",2.888507843,0.541902721,3334.10919,2693,0.657470703,49.0179863
layers.18.self_attn.o_proj.weight,"[4096, 4096]",5.43772459,0.540211201,3300.934849,2704,0.66015625,48.76814651
layers.18.mlp.gate_proj.weight,"[11008, 4096]",13.56250572,1.163905621,6917.236974,3253,0.794189453,88.94200897
layers.18.mlp.up_proj.weight,"[11008, 4096]",6.065442085,1.150076509,6660.88385,3282,0.801269531,87.55175781
layers.18.mlp.down_proj.weight,"[4096, 11008]",5.389955044,1.149842739,6619.202622,3303,0.806396484,87.46871948
layers.19.self_attn.q_proj.weight,"[4096, 4096]",12.79369354,0.62211597,4053.673954,2533,0.618408203,55.73258591
layers.19.self_attn.k_proj.weight,"[4096, 4096]",14.21688652,0.628972709,4108.475855,2534,0.618652344,56.40557861
layers.19.self_attn.v_proj.weight,"[4096, 4096]",2.742966652,0.536728621,3338.356795,2684,0.655273438,48.54153061
layers.19.self_attn.o_proj.weight,"[4096, 4096]",5.363221169,0.545913756,3339.99955,2704,0.66015625,49.28179932
layers.19.mlp.gate_proj.weight,"[11008, 4096]",12.63218307,1.174550891,6961.143781,3260,0.795898438,89.66345978
layers.19.mlp.up_proj.weight,"[11008, 4096]",5.917182922,1.151105881,6664.558442,3286,0.802246094,87.57158661
layers.19.mlp.down_proj.weight,"[4096, 11008]",5.590488434,1.154981971,6640.780422,3308,0.807617188,87.85061646
layers.20.self_attn.q_proj.weight,"[4096, 4096]",13.33085918,0.61683023,4042.302236,2509,0.612548828,55.38184738
layers.20.self_attn.k_proj.weight,"[4096, 4096]",14.21616077,0.628287911,4113.87806,2515,0.614013672,56.54642105
layers.20.self_attn.v_proj.weight,"[4096, 4096]",2.747546673,0.553751349,3411.715383,2692,0.657226563,50.09041977
layers.20.self_attn.o_proj.weight,"[4096, 4096]",6.583787918,0.565759182,3430.651702,2725,0.665283203,51.02173996
layers.20.mlp.gate_proj.weight,"[11008, 4096]",12.73950672,1.178910375,6991.635854,3259,0.795654297,89.96568298
layers.20.mlp.up_proj.weight,"[11008, 4096]",6.109983444,1.145205498,6649.605749,3282,0.801269531,87.18721771
layers.20.mlp.down_proj.weight,"[4096, 11008]",5.163437366,1.173786521,6668.846589,3314,0.809082031,88.91831207
layers.21.self_attn.q_proj.weight,"[4096, 4096]",12.78244114,0.615481973,3996.272171,2524,0.616210938,55.44295502
layers.21.self_attn.k_proj.weight,"[4096, 4096]",13.34149647,0.622874558,4048.969227,2527,0.616943359,56.4187851
layers.21.self_attn.v_proj.weight,"[4096, 4096]",3.213428497,0.566461682,3500.306373,2686,0.655761719,51.07260513
layers.21.self_attn.o_proj.weight,"[4096, 4096]",5.629275322,0.584333003,3525.183847,2740,0.668945313,52.51658249
layers.21.mlp.gate_proj.weight,"[11008, 4096]",12.13671398,1.189233422,7048.609345,3261,0.796142578,90.72638702
layers.21.mlp.up_proj.weight,"[11008, 4096]",5.696828842,1.141685009,6639.908224,3282,0.801269531,87.04732513
layers.21.mlp.down_proj.weight,"[4096, 11008]",4.881747723,1.169891477,6662.37858,3310,0.808105469,88.73994446
layers.22.self_attn.q_proj.weight,"[4096, 4096]",12.96452236,0.643904388,4128.570206,2533,0.618408203,57.95524216
layers.22.self_attn.k_proj.weight,"[4096, 4096]",13.39008045,0.654584944,4194.993241,2541,0.620361328,59.15298843
layers.22.self_attn.v_proj.weight,"[4096, 4096]",2.724560261,0.579169035,3546.553774,2708,0.661132813,52.17110825
layers.22.self_attn.o_proj.weight,"[4096, 4096]",7.594939709,0.585550189,3527.312103,2741,0.669189453,52.49984741
layers.22.mlp.gate_proj.weight,"[11008, 4096]",11.91812229,1.196506619,7090.616359,3265,0.797119141,91.27828979
layers.22.mlp.up_proj.weight,"[11008, 4096]",5.323743343,1.140476704,6635.57172,3284,0.801757813,86.9211731
layers.22.mlp.down_proj.weight,"[4096, 11008]",5.277320862,1.167321444,6661.387973,3305,0.806884766,88.7561264
layers.23.self_attn.q_proj.weight,"[4096, 4096]",12.50559998,0.672806442,4216.972122,2581,0.630126953,60.42992783
layers.23.self_attn.k_proj.weight,"[4096, 4096]",12.87934685,0.676569939,4247.785108,2584,0.630859375,60.88381577
layers.23.self_attn.v_proj.weight,"[4096, 4096]",3.020344496,0.605008423,3711.177483,2708,0.661132813,54.57919312
layers.23.self_attn.o_proj.weight,"[4096, 4096]",5.503468513,0.610818923,3700.373518,2734,0.667480469,54.89051056
layers.23.mlp.gate_proj.weight,"[11008, 4096]",10.91364002,1.203674197,7114.988102,3272,0.798828125,91.88058472
layers.23.mlp.up_proj.weight,"[11008, 4096]",4.903337955,1.150612116,6683.163163,3290,0.803222656,87.75511169
layers.23.mlp.down_proj.weight,"[4096, 11008]",5.86552,1.162617803,6682.055113,3299,0.805419922,88.59975433
layers.24.self_attn.q_proj.weight,"[4096, 4096]",12.38664532,0.598343968,3906.38727,2496,0.609375,54.28749084
layers.24.self_attn.k_proj.weight,"[4096, 4096]",13.1726799,0.605706096,3945.788922,2508,0.612304688,55.03120422
layers.24.self_attn.v_proj.weight,"[4096, 4096]",3.218632221,0.59360683,3657.590317,2701,0.659423828,53.40787125
layers.24.self_attn.o_proj.weight,"[4096, 4096]",6.672455788,0.607077897,3659.501655,2742,0.669433594,54.50894165
layers.24.mlp.gate_proj.weight,"[11008, 4096]",10.87312889,1.21305263,7148.595634,3276,0.799804688,92.53636169
layers.24.mlp.up_proj.weight,"[11008, 4096]",4.689720154,1.159557223,6714.639534,3294,0.804199219,88.3591156
layers.24.mlp.down_proj.weight,"[4096, 11008]",5.610479832,1.157761216,6690.815633,3294,0.804199219,88.3323288
layers.25.self_attn.q_proj.weight,"[4096, 4096]",11.85754013,0.647203088,4105.490893,2577,0.629150391,58.38092041
layers.25.self_attn.k_proj.weight,"[4096, 4096]",12.29486561,0.657100797,4150.303739,2590,0.632324219,59.42485428
layers.25.self_attn.v_proj.weight,"[4096, 4096]",3.1827209,0.625781834,3822.585908,2713,0.662353516,56.29870605
layers.25.self_attn.o_proj.weight,"[4096, 4096]",4.821978092,0.619654179,3779.919245,2721,0.664306641,55.82193375
layers.25.mlp.gate_proj.weight,"[11008, 4096]",10.78770733,1.223145843,7183.075314,3282,0.801269531,93.32196808
layers.25.mlp.up_proj.weight,"[11008, 4096]",4.954108238,1.170481324,6756.541602,3299,0.805419922,89.13854218
layers.25.mlp.down_proj.weight,"[4096, 11008]",5.314708233,1.152351499,6697.752171,3290,0.803222656,87.86615753
